t	DToutletrel	Toutlet	PhiFreeSurf	Ithermique	Phi0	IElecSR	IElecSI	IElecTR	IElecTI	IElecRR	IElecRI	ITotal	PElec	
0.5	0.135762	1473.15	1810.5	18141.2	1.5537	13.7905	-0.00401455	-6.76465	12.0218	-6.78527	-12.0652	41.4254	66.002	
1	1.17874e-07	1473.15	4346.21	43549	1.26224	13.7907	-0.00401371	-6.76475	12.0219	-6.78537	-12.0653	41.4259	72.0013	
1.5	6.92428e-07	1473.15	6719.8	67332.4	1.31835	13.7909	-0.00401289	-6.76485	12.022	-6.78547	-12.0654	41.4263	78.0024	
2	1.12199e-06	1473.14	8982.73	90006.9	1.37219	13.7911	-0.00401222	-6.76495	12.022	-6.78558	-12.0655	41.4268	84.0036	
2.5	1.45996e-06	1473.14	11143.7	111660	1.42399	13.7913	-0.00401166	-6.76506	12.0221	-6.78568	-12.0656	41.4272	90.0051	
3	1.73106e-06	1473.14	13207.2	132336	1.47397	13.7915	-0.00401117	-6.76516	12.0222	-6.78579	-12.0657	41.4277	96.0069	
3.5	1.9529e-06	1473.14	15178.7	152090	1.52231	13.7917	-0.00401075	-6.76526	12.0223	-6.78589	-12.0658	41.4281	102.009	
4	2.13819e-06	1473.13	17063.5	170976	1.56917	13.7919	-0.00401036	-6.76537	12.0224	-6.786	-12.0659	41.4286	108.011	
4.5	2.29612e-06	1473.13	18866.7	189045	1.61466	13.7921	-0.00401	-6.76547	12.0225	-6.78611	-12.0659	41.4291	114.014	
5	2.43343e-06	1473.13	20593.2	206344	1.65891	13.7923	-0.00400967	-6.76558	12.0225	-6.78621	-12.066	41.4295	120.017	
5.5	2.55502e-06	1473.12	22247.4	222919	1.70202	13.7925	-0.00400936	-6.76568	12.0226	-6.78632	-12.0661	41.43	126.02	
6	2.6644e-06	1473.12	23833.5	238811	1.74405	13.7927	-0.00400907	-6.76578	12.0227	-6.78642	-12.0662	41.4305	132.023	
6.5	2.76428e-06	1473.12	25355	254057	1.7851	13.793	-0.0040088	-6.76589	12.0228	-6.78653	-12.0663	41.4309	138.027	
7	2.85663e-06	1473.11	26815.4	268690	1.82523	13.7932	-0.00400854	-6.76599	12.0229	-6.78664	-12.0664	41.4314	144.031	
7.5	2.94287e-06	1473.11	28217.9	282744	1.86449	13.7934	-0.0040083	-6.7661	12.023	-6.78674	-12.0665	41.4319	150.035	
8	3.02403e-06	1473.1	29565.6	296247	1.90295	13.7936	-0.00400807	-6.7662	12.0231	-6.78685	-12.0666	41.4323	156.04	
8.5	3.10111e-06	1473.1	30861	309227	1.94064	13.7938	-0.00400784	-6.7663	12.0231	-6.78695	-12.0666	41.4328	162.045	
9	3.17465e-06	1473.09	32106.8	321710	1.97762	13.794	-0.00400763	-6.76641	12.0232	-6.78705	-12.0667	41.4332	168.05	
9.5	3.24494e-06	1473.09	33305.2	333718	2.01392	13.7942	-0.00400742	-6.76651	12.0233	-6.78716	-12.0668	41.4337	174.055	
10	3.31229e-06	1473.08	34458.5	345274	2.04958	13.7944	-0.00400722	-6.76661	12.0234	-6.78726	-12.0669	41.4342	180.061	
10.5	3.37764e-06	1473.08	35568.4	356395	2.08462	13.7946	-0.00400703	-6.76671	12.0235	-6.78736	-12.067	41.4346	186.067	
11	3.44085e-06	1473.07	36636.7	367100	2.11909	13.7948	-0.00400683	-6.76682	12.0236	-6.78747	-12.0671	41.4351	192.073	
11.5	3.50205e-06	1473.07	37665.3	377407	2.15301	13.795	-0.00400664	-6.76692	12.0236	-6.78757	-12.0672	41.4355	198.08	
12	3.56134e-06	1473.06	38656.2	387336	2.18641	13.7952	-0.00400646	-6.76702	12.0237	-6.78767	-12.0672	41.436	204.086	
12.5	3.61915e-06	1473.06	39611.1	396903	2.2193	13.7954	-0.00400629	-6.76712	12.0238	-6.78777	-12.0673	41.4364	210.094	
13	3.67554e-06	1473.05	40531.4	406125	2.25171	13.7957	-0.00400611	-6.76722	12.0239	-6.78787	-12.0674	41.4369	216.101	
13.5	3.73058e-06	1473.05	41418.6	415015	2.28367	13.7959	-0.00400595	-6.76732	12.024	-6.78797	-12.0675	41.4373	222.109	
14	3.78381e-06	1473.04	42274	423585	2.31518	13.7961	-0.00400579	-6.76742	12.024	-6.78807	-12.0676	41.4378	228.117	
14.5	3.83592e-06	1473.04	43098.5	431847	2.34627	13.7963	-0.00400562	-6.76752	12.0241	-6.78817	-12.0676	41.4382	234.125	
15	3.88668e-06	1473.03	43893.3	439811	2.37696	13.7965	-0.00400547	-6.76762	12.0242	-6.78827	-12.0677	41.4386	240.134	
15.5	3.93603e-06	1473.02	44659.6	447490	2.40725	13.7967	-0.00400531	-6.76772	12.0243	-6.78837	-12.0678	41.4391	246.143	
16	3.98452e-06	1473.02	45398.9	454897	2.43717	13.7969	-0.00400515	-6.76782	12.0244	-6.78847	-12.0679	41.4395	252.153	
16.5	4.03166e-06	1473.01	46112.4	462046	2.46673	13.7971	-0.00400499	-6.76792	12.0245	-6.78857	-12.068	41.44	258.162	
17	4.07712e-06	1473.01	46801	468946	2.49594	13.7973	-0.00400484	-6.76802	12.0245	-6.78867	-12.0681	41.4404	264.172	
17.5	4.12194e-06	1473	47465.4	475603	2.52481	13.7975	-0.00400468	-6.76811	12.0246	-6.78877	-12.0681	41.4408	270.183	
18	4.16611e-06	1472.99	48106.2	482024	2.55336	13.7977	-0.00400452	-6.76821	12.0247	-6.78887	-12.0682	41.4413	276.193	
18.5	4.20893e-06	1472.99	48724	488215	2.58159	13.7979	-0.00400437	-6.76831	12.0248	-6.78896	-12.0683	41.4417	282.205	
19	4.25058e-06	1472.98	49320	494187	2.60952	13.7981	-0.00400421	-6.76841	12.0249	-6.78906	-12.0684	41.4421	288.216	
19.5	4.29179e-06	1472.98	49895.3	499951	2.63716	13.7982	-0.00400406	-6.7685	12.0249	-6.78916	-12.0684	41.4426	294.228	
20	4.33216e-06	1472.97	50450.7	505516	2.6645	13.7984	-0.0040039	-6.7686	12.025	-6.78925	-12.0685	41.443	300.24	
20.5	4.37161e-06	1472.96	50986.5	510885	2.69157	13.7986	-0.00400374	-6.7687	12.0251	-6.78935	-12.0686	41.4434	306.252	
21	4.40967e-06	1472.96	51503.3	516063	2.71838	13.7988	-0.00400358	-6.76879	12.0252	-6.78945	-12.0687	41.4438	312.265	
21.5	4.44734e-06	1472.95	52001.4	521054	2.74492	13.799	-0.00400341	-6.76889	12.0252	-6.78954	-12.0688	41.4443	318.278	
22	4.48443e-06	1472.94	52481.6	525865	2.77121	13.7992	-0.00400325	-6.76898	12.0253	-6.78964	-12.0688	41.4447	324.292	
22.5	4.52084e-06	1472.94	52944.9	530508	2.79725	13.7994	-0.0040031	-6.76908	12.0254	-6.78973	-12.0689	41.4451	330.306	
23	4.5564e-06	1472.93	53392.5	534992	2.82305	13.7996	-0.00400294	-6.76917	12.0255	-6.78983	-12.069	41.4455	336.32	
23.5	4.59119e-06	1472.92	53824.5	539322	2.84862	13.7998	-0.00400278	-6.76927	12.0256	-6.78992	-12.0691	41.446	342.334	
24	4.62554e-06	1472.92	54241.2	543497	2.87397	13.8	-0.00400262	-6.76936	12.0256	-6.79002	-12.0692	41.4464	348.349	
24.5	4.65929e-06	1472.91	54643.1	547524	2.89909	13.8002	-0.00400246	-6.76946	12.0257	-6.79011	-12.0692	41.4468	354.365	
25	4.69198e-06	1472.9	55031.4	551415	2.924	13.8004	-0.0040023	-6.76955	12.0258	-6.79021	-12.0693	41.4472	360.38	
25.5	4.72427e-06	1472.89	55407.2	555180	2.9487	13.8006	-0.00400214	-6.76964	12.0259	-6.7903	-12.0694	41.4476	366.397	
26	4.75571e-06	1472.89	55771	558825	2.9732	13.8007	-0.00400198	-6.76974	12.0259	-6.79039	-12.0695	41.4481	372.413	
26.5	4.78658e-06	1472.88	56122.9	562351	2.99749	13.8009	-0.00400182	-6.76983	12.026	-6.79049	-12.0695	41.4485	378.43	
27	4.81694e-06	1472.87	56462.9	565758	3.02159	13.8011	-0.00400165	-6.76992	12.0261	-6.79058	-12.0696	41.4489	384.447	
27.5	4.84659e-06	1472.87	56791.2	569048	3.04551	13.8013	-0.00400149	-6.77002	12.0262	-6.79067	-12.0697	41.4493	390.465	
28	4.87555e-06	1472.86	57108.3	572225	3.06923	13.8015	-0.00400133	-6.77011	12.0263	-6.79077	-12.0698	41.4497	396.482	
28.5	4.9041e-06	1472.85	57414.3	575292	3.09278	13.8017	-0.00400117	-6.7702	12.0263	-6.79086	-12.0698	41.4501	402.501	
29	4.93211e-06	1472.85	57709.7	578251	3.11615	13.8019	-0.004001	-6.7703	12.0264	-6.79095	-12.0699	41.4505	408.52	
29.5	4.95924e-06	1472.84	57994.7	581107	3.13935	13.8021	-0.00400083	-6.77039	12.0265	-6.79104	-12.07	41.451	414.539	
30	4.98604e-06	1472.83	58269.6	583862	3.16237	13.8023	-0.00400067	-6.77048	12.0266	-6.79114	-12.0701	41.4514	420.558	
30.5	5.01259e-06	1472.82	58535.1	586522	3.18523	13.8024	-0.0040005	-6.77057	12.0266	-6.79123	-12.0702	41.4518	426.578	
31	5.03888e-06	1472.82	58791.8	589094	3.20793	13.8026	-0.00400033	-6.77066	12.0267	-6.79132	-12.0702	41.4522	432.598	
31.5	5.06489e-06	1472.81	59039.8	591579	3.23048	13.8028	-0.00400016	-6.77075	12.0268	-6.79141	-12.0703	41.4526	438.619	
32	5.08993e-06	1472.8	59279.3	593979	3.25286	13.803	-0.00399999	-6.77085	12.0269	-6.7915	-12.0704	41.453	444.64	
32.5	5.1146e-06	1472.79	59510.6	596296	3.2751	13.8032	-0.00399981	-6.77094	12.0269	-6.7916	-12.0705	41.4534	450.661	
33	5.13893e-06	1472.79	59733.9	598534	3.29718	13.8034	-0.00399964	-6.77103	12.027	-6.79169	-12.0705	41.4538	456.683	
33.5	5.1628e-06	1472.78	59949.5	600694	3.31912	13.8036	-0.00399946	-6.77112	12.0271	-6.79178	-12.0706	41.4542	462.705	
34	5.18625e-06	1472.77	60157.6	602779	3.34092	13.8037	-0.00399928	-6.77121	12.0272	-6.79187	-12.0707	41.4546	468.728	
34.5	5.20892e-06	1472.76	60358.5	604792	3.36257	13.8039	-0.00399911	-6.7713	12.0273	-6.79196	-12.0708	41.455	474.751	
35	5.23148e-06	1472.75	60552.4	606735	3.38409	13.8041	-0.00399893	-6.77139	12.0273	-6.79205	-12.0708	41.4555	480.774	
