t	DToutletrel	Toutlet	PhiFreeSurf	Ithermique	Phi0	IElecSR	IElecSI	IElecTR	IElecTI	IElecRR	IElecRI	ITotal	PElec	
0.5	0.13576	1473.14	6936.46	41618.8	0.844977	47.0659	0.0353771	-23.5073	40.1443	-23.4744	-40.1097	140.059	66.0044	
1	3.98797e-07	1473.14	17643.1	105859	0.686487	47.0657	0.0353778	-23.5072	40.1442	-23.4743	-40.1095	140.058	72.003	
1.5	1.46601e-06	1473.14	27161.5	162969	0.717004	47.0655	0.0353792	-23.5071	40.1441	-23.4742	-40.1094	140.058	78.0054	
2	2.33644e-06	1473.14	35720.7	214324	0.746294	47.0652	0.0353802	-23.507	40.1439	-23.4742	-40.1093	140.057	84.0078	
2.5	3.03592e-06	1473.13	43455	260730	0.774476	47.065	0.0353808	-23.507	40.1438	-23.4741	-40.1091	140.057	90.0109	
3	3.54324e-06	1473.13	50473.4	302841	0.801672	47.0648	0.0353811	-23.5069	40.1437	-23.474	-40.109	140.056	96.0146	
3.5	4.0465e-06	1473.12	56866.5	341199	0.827977	47.0646	0.0353812	-23.5068	40.1435	-23.4739	-40.1088	140.056	102.019	
4	4.4179e-06	1473.12	62706.1	376237	0.853476	47.0644	0.0353812	-23.5067	40.1434	-23.4738	-40.1087	140.055	108.024	
4.5	4.7605e-06	1473.11	68057.5	408345	0.878236	47.0642	0.0353811	-23.5066	40.1432	-23.4737	-40.1086	140.054	114.029	
5	5.012e-06	1473.1	72976.7	437860	0.90232	47.064	0.0353808	-23.5065	40.1431	-23.4736	-40.1084	140.054	120.035	
5.5	5.20328e-06	1473.09	77502.6	465015	0.92578	47.0638	0.0353805	-23.5064	40.1429	-23.4735	-40.1083	140.053	126.042	
6	5.34564e-06	1473.09	81683.9	490103	0.948662	47.0636	0.0353801	-23.5063	40.1428	-23.4734	-40.1081	140.053	132.049	
6.5	5.45874e-06	1473.08	85547.2	513283	0.971006	47.0634	0.0353796	-23.5062	40.1427	-23.4733	-40.108	140.052	138.056	
7	5.61469e-06	1473.07	89119.4	534716	0.99285	47.0632	0.0353791	-23.5061	40.1425	-23.4732	-40.1078	140.052	144.064	
7.5	5.46992e-06	1473.06	92428.4	554571	1.01423	47.063	0.0353786	-23.506	40.1424	-23.4731	-40.1077	140.051	150.072	
8	4.89063e-06	1473.05	95502	573012	1.03516	47.0628	0.035378	-23.5059	40.1422	-23.473	-40.1075	140.05	156.08	
8.5	4.72322e-06	1473.05	98357.2	590143	1.05568	47.0625	0.0353774	-23.5058	40.1421	-23.4729	-40.1074	140.05	162.089	
9	4.65934e-06	1473.04	101015	606090	1.07581	47.0623	0.0353767	-23.5057	40.1419	-23.4728	-40.1072	140.049	168.097	
9.5	4.69186e-06	1473.03	103487	620920	1.09557	47.0621	0.0353761	-23.5056	40.1418	-23.4727	-40.1071	140.049	174.106	
10	4.85687e-06	1473.03	105788	634728	1.11498	47.0619	0.0353754	-23.5055	40.1416	-23.4726	-40.1069	140.048	180.116	
10.5	4.96396e-06	1473.02	107933	647597	1.13407	47.0617	0.0353747	-23.5054	40.1415	-23.4725	-40.1068	140.048	186.126	
11	5.0753e-06	1473.01	109933	659598	1.15283	47.0615	0.0353741	-23.5053	40.1413	-23.4724	-40.1066	140.047	192.137	
11.5	5.22423e-06	1473	111800	670801	1.1713	47.0613	0.0353734	-23.5052	40.1412	-23.4723	-40.1065	140.047	198.147	
12	5.35966e-06	1473	113544	681266	1.18948	47.0611	0.0353727	-23.5051	40.141	-23.4722	-40.1063	140.046	204.159	
12.5	5.4258e-06	1472.99	115175	691048	1.2074	47.0609	0.035372	-23.505	40.1409	-23.4721	-40.1062	140.045	210.171	
13	5.57426e-06	1472.98	116699	700196	1.22505	47.0607	0.0353714	-23.5049	40.1407	-23.472	-40.106	140.045	216.183	
13.5	5.70971e-06	1472.97	118125	708752	1.24245	47.0605	0.0353707	-23.5048	40.1406	-23.4719	-40.1059	140.044	222.196	
14	5.86197e-06	1472.96	119461	716769	1.25961	47.0603	0.03537	-23.5047	40.1404	-23.4718	-40.1058	140.044	228.21	
14.5	6.01556e-06	1472.95	120713	724279	1.27654	47.0601	0.0353694	-23.5046	40.1403	-23.4717	-40.1056	140.043	234.224	
15	6.16619e-06	1472.95	121886	731317	1.29326	47.06	0.0353687	-23.5045	40.1402	-23.4716	-40.1055	140.043	240.238	
15.5	6.31155e-06	1472.94	122986	737913	1.30976	47.0598	0.0353681	-23.5045	40.14	-23.4715	-40.1053	140.042	246.253	
16	6.45413e-06	1472.93	124016	744097	1.32606	47.0596	0.0353675	-23.5044	40.1399	-23.4714	-40.1052	140.042	252.269	
16.5	6.59129e-06	1472.92	124982	749892	1.34216	47.0594	0.0353668	-23.5043	40.1398	-23.4713	-40.1051	140.041	258.286	
17	6.71996e-06	1472.91	125887	755322	1.35807	47.0592	0.0353662	-23.5042	40.1396	-23.4712	-40.1049	140.041	264.302	
17.5	6.85074e-06	1472.9	126736	760419	1.3738	47.059	0.0353656	-23.5041	40.1395	-23.4711	-40.1048	140.04	270.32	
18	6.9782e-06	1472.89	127536	765217	1.38936	47.0588	0.035365	-23.504	40.1393	-23.4711	-40.1047	140.04	276.338	
18.5	7.09441e-06	1472.88	128287	769725	1.40474	47.0587	0.0353644	-23.5039	40.1392	-23.471	-40.1045	140.039	282.357	
19	7.21427e-06	1472.87	128996	773975	1.41996	47.0585	0.0353638	-23.5038	40.1391	-23.4709	-40.1044	140.039	288.376	
19.5	7.33122e-06	1472.85	129663	777977	1.43501	47.0583	0.0353633	-23.5037	40.139	-23.4708	-40.1043	140.038	294.396	
